file_url,platform_link,Handelsadato,ISIN,Verdipapirnavn,Antall,Kurs,Handelsbeløp,Kilder
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,16.12.2020,NO0010882996,BULL DAX X155 NORDNET N2,−200,"37,33",−7466,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,16.12.2020,NO0010882996,BULL DAX X15S NORDNET N2,−200,"38,18",−7636,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,16.12.2020,NO0010882996,BULL DAX X15S NORDNET NZ,−200,"39,10",−7820,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-149.jpeg?expires=1696629224&or=0&s=86530d3dd5ad80c4a3526d99a0116aff,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6604-6469-11ee-82a5-129b4cad2a96,16.12.2020,NO0010792203,BULL OBX X5 NORDNET,65,"76,00",4940,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-149.jpeg?expires=1696629224&or=0&s=86530d3dd5ad80c4a3526d99a0116aff,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6604-6469-11ee-82a5-129b4cad2a96,16.12.2020,NO0010792203,BULL OBX X5 NORDNET,−180,"75,50",−13590,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-149.jpeg?expires=1696629224&or=0&s=86530d3dd5ad80c4a3526d99a0116aff,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6604-6469-11ee-82a5-129b4cad2a96,16.12.2020,NO0010792203,BULL OBX X5 NORDNET,−400,"75,59",−30236,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-205.jpeg?expires=1696629224&or=0&s=6f06287cc55fc4eda87614c2340393e5,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b671f-6469-11ee-82dd-129b4cad2a96,16.12.2020,NO0010898786,BULL OMX X2 NORDNET N,100,"103,60",10360,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-205.jpeg?expires=1696629224&or=0&s=6f06287cc55fc4eda87614c2340393e5,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b671f-6469-11ee-82dd-129b4cad2a96,16.12.2020,NO0010898786,BULL OMX X2 NORDNET N,−40,"103,45",−4138,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-205.jpeg?expires=1696629224&or=0&s=6f06287cc55fc4eda87614c2340393e5,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b671f-6469-11ee-82dd-129b4cad2a96,16.12.2020,N00010898786,BULL OMX X2 NORDNET N,−200,"103,60",−20720,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-29.jpeg?expires=1696629224&or=0&s=f11d14870f04fcac4207ee3093737ee3,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60f0-6469-11ee-822d-129b4cad2a96,16.12.2020,NO0003067902,HEXAGON COMPOSITES,800,"51,95",41560,DnB
